"","x","y","land_perc","temp","phyto","velo"
"1",-2155000,7426291.28571429,NA,4.01891723918612,2.90053064334424,0.1774402741331
"2",-2065000,7426291.28571429,NA,5.09318683579986,2.00913708498386,0.0897822000825099
"3",-1975000,7426291.28571429,NA,5.30941657242623,1.90532268338943,0.020374561737386
"4",-1885000,7426291.28571429,NA,5.32498169317671,1.88934063248434,0.0204235227156264
"5",-1795000,7426291.28571429,NA,5.27631746047069,1.871402309022,0.0197970184598334
"6",-1705000,7426291.28571429,NA,5.1933125473604,1.87215538715513,0.0193981116898129
"7",-1615000,7426291.28571429,NA,5.09378577088028,1.99666183077003,0.0319063460351988
"8",-1525000,7426291.28571429,NA,5.06499834052112,2.45564600232447,0.0452928574684783
"9",-1435000,7426291.28571429,NA,3.87365606532712,3.16441143480858,0.292283955746004
"10",-1345000,7426291.28571429,0.204542529807567,2.68982837052945,4.07543178002601,0.292737481619736
"11",-1255000,7426291.28571429,0.155535200839552,3.48964739229558,3.35048646111895,0.368717743889526
"12",-1165000,7426291.28571429,NA,5.86340601093064,2.45317730386348,0.235773310507579
"13",-1075000,7426291.28571429,NA,6.45931286549227,2.01742048440454,0.0446055548738935
"14",-985000,7426291.28571429,NA,6.64296861842883,1.92894511647761,0.026807196986956
"15",-895000,7426291.28571429,NA,6.93801280403992,1.89285564123326,0.0316288046664601
"16",-805000,7426291.28571429,NA,7.33411964885451,1.89420809086854,0.0329982718048457
"17",-715000,7426291.28571429,NA,7.73412280635117,1.89820580221621,0.0455822045197731
"18",-625000,7426291.28571429,NA,8.09977585041976,1.89509614701457,0.0421950061067059
"19",-535000,7426291.28571429,NA,8.46871186012634,1.8187509086362,0.103639306987327
"20",-445000,7426291.28571429,NA,8.83290246424747,1.73741389830404,0.12581708417429
"21",-355000,7426291.28571429,NA,9.1439715369574,1.71385585591226,0.0774215518007108
"22",-265000,7426291.28571429,NA,9.39683469938769,1.7140494607179,0.0466754087230312
"23",-175000,7426291.28571429,NA,9.59163270846854,1.69673035968265,0.0377886797541076
"24",-85000,7426291.28571429,NA,9.74922122092443,1.69060994165679,0.0269643368988938
"25",5000,7426291.28571429,NA,9.9077513670269,1.67798894127856,0.0356391600775659
"26",95000,7426291.28571429,NA,10.0257177571561,1.66460461767581,0.0613756424286071
"27",185000,7426291.28571429,NA,10.0685315739816,1.64497530376315,0.0593750384379224
"28",275000,7426291.28571429,NA,10.0816468748452,1.63645372265891,0.04455916458444
"29",365000,7426291.28571429,NA,10.153258213166,1.64570010508062,0.0625271452724978
"30",455000,7426291.28571429,NA,10.1456947107579,1.62967403192544,0.0683522013880394
"31",545000,7426291.28571429,NA,9.96756923323891,1.7662607042097,0.0472282498561533
"32",635000,7426291.28571429,NA,9.65878152126928,2.15487807839706,0.041668259793685
"33",725000,7426291.28571429,0.00997583609848848,9.29816779251228,2.40543340441815,0.0441672379700851
"34",815000,7426291.28571429,NA,9.75640479744287,2.32709727937694,0.085556144865155
"35",905000,7426291.28571429,NA,10.2376954828952,2.42460314419254,0.142048404604043
"36",995000,7426291.28571429,0.0930387147038669,10.0701027899562,2.82839207214971,0.0606314672099796
"37",1085000,7426291.28571429,NA,10.1123548679469,2.58380210992877,0.0353990713378393
"38",1175000,7426291.28571429,NA,10.1183119370806,2.51815408373413,0.0294613532016456
"39",1265000,7426291.28571429,NA,10.1874937464416,2.70320819471353,0.0247607187661621
"40",1355000,7426291.28571429,0.0677823628868036,10.0361107881139,2.35685180647584,0.0984666191619141
"41",1445000,7426291.28571429,0.720782479017599,9.76475376805044,3.22911806335445,0.0337175399024635
"42",1535000,7426291.28571429,1,NA,NA,NA
"43",1625000,7426291.28571429,0.699709464522059,10.3531068109192,2.6138699627548,0.234868306171243
"44",1715000,7426291.28571429,0.00185770508602293,10.392632361106,2.46877298690095,0.150790995214373
"45",1805000,7426291.28571429,6.67308276813409e-05,10.2604251057948,2.85421891502685,0.120711495471802
"46",-2155000,7278873.85714286,NA,3.04573655224775,3.55447829692983,0.296387299817098
"47",-2065000,7278873.85714286,NA,4.66019978397183,2.62296906277227,0.15256758235146
"48",-1975000,7278873.85714286,NA,5.34545864592356,2.04996566601895,0.0360658754908725
"49",-1885000,7278873.85714286,NA,5.52692873273425,1.89716392412099,0.0336674822314291
"50",-1795000,7278873.85714286,NA,5.49233507798601,1.87056674984205,0.0170574786744141
"51",-1705000,7278873.85714286,NA,5.44491618842669,1.86692759404142,0.0247805825355146
"52",-1615000,7278873.85714286,NA,5.45397905236809,1.88330159576723,0.0373558290402131
"53",-1525000,7278873.85714286,NA,5.54064127731519,1.91667129464801,0.0326642551160997
"54",-1435000,7278873.85714286,NA,5.61535774428629,2.05628655526088,0.0401614695421638
"55",-1345000,7278873.85714286,NA,5.64738637016882,2.31594717509929,0.0926638277953998
"56",-1255000,7278873.85714286,NA,5.87041133875229,2.16297567277004,0.0843338329812615
"57",-1165000,7278873.85714286,NA,6.09150574894067,1.94728004239633,0.0397537138309588
"58",-1075000,7278873.85714286,NA,6.40964062174693,1.87998629723766,0.0329143078716791
"59",-985000,7278873.85714286,NA,6.81881834296047,1.87540702839907,0.0365975061994666
"60",-895000,7278873.85714286,NA,7.23420330753593,1.87139992877784,0.0403307982029496
"61",-805000,7278873.85714286,NA,7.65895660280034,1.89522418614723,0.0355445976092862
"62",-715000,7278873.85714286,NA,8.08140100220471,1.89252535504936,0.0573624417266952
"63",-625000,7278873.85714286,NA,8.51563475824235,1.80689587791874,0.108914501289941
"64",-535000,7278873.85714286,NA,8.92960543040295,1.74252995682855,0.115415530753948
"65",-445000,7278873.85714286,NA,9.22157972096566,1.74437848366403,0.0608200889642111
"66",-355000,7278873.85714286,NA,9.48340269950945,1.72468737770081,0.0299957765005277
"67",-265000,7278873.85714286,NA,9.69349122786317,1.70322093665551,0.0325200729468902
"68",-175000,7278873.85714286,NA,9.91660457572503,1.69908189351867,0.0392019749628224
"69",-85000,7278873.85714286,NA,10.1545117957106,1.70634499991695,0.0761347742164053
"70",5000,7278873.85714286,NA,10.2620603574685,1.70695941238656,0.0668305818773028
"71",95000,7278873.85714286,NA,10.340984824873,1.71254699307231,0.0647463499644084
"72",185000,7278873.85714286,NA,10.3336300276602,1.71399499784298,0.059537090694443
"73",275000,7278873.85714286,NA,10.4012609852173,1.70202499519302,0.0574861240073101
"74",365000,7278873.85714286,NA,10.5365035987463,1.72361200578039,0.0676676529328835
"75",455000,7278873.85714286,NA,10.5702460877494,1.7720031934802,0.0325913697839531
"76",545000,7278873.85714286,NA,10.5275346190285,1.82902729629181,0.052553233087816
"77",635000,7278873.85714286,NA,10.5660895368662,1.8404747939234,0.0624543336707331
"78",725000,7278873.85714286,NA,10.6761381808052,1.93741409315095,0.0916120020838894
"79",815000,7278873.85714286,NA,10.6598881992011,2.48311441877639,0.112793640786737
"80",905000,7278873.85714286,0.0089353273429102,10.3666561990428,2.71887279785234,0.0882843300221509
"81",995000,7278873.85714286,0.0536524367698638,9.90971982207729,2.93510608048454,0.0832709491592809
"82",1085000,7278873.85714286,NA,10.0950035741757,2.49201297850687,0.044527281205319
"83",1175000,7278873.85714286,NA,10.1973843678552,2.1674246540492,0.0361541351341005
"84",1265000,7278873.85714286,NA,10.28559255272,2.22667266641641,0.0572086831428585
"85",1355000,7278873.85714286,NA,10.2676445503689,2.27889125448529,0.0741065017246257
"86",1445000,7278873.85714286,0.0612454426392655,10.2868474476223,2.45796885068825,0.0829640489337945
"87",1535000,7278873.85714286,0.238361208841395,10.3921786976351,2.51553602808295,0.10579578276545
"88",1625000,7278873.85714286,0.0453279762580003,10.5329192939325,2.24149719884728,0.154737115856098
