"","Seq","AOU","Order","Family","Genus","Species"
"691","1386","05135","Passeriformes","Icteridae","Quiscalus","major/mexicanus"
"692","1387","06740","Passeriformes","Parulidae","Seiurus","aurocapilla"
"693","1388","06390","Passeriformes","Parulidae","Helmitheros","vermivorum"
"694","1389","06760","Passeriformes","Parulidae","Parkesia","motacilla"
"695","1390","06750","Passeriformes","Parulidae","Parkesia","noveboracensis"
"696","1391","06420","Passeriformes","Parulidae","Vermivora","chrysoptera"
"697","1392","06410","Passeriformes","Parulidae","Vermivora","cyanoptera"
"698","1393","06412","Passeriformes","Parulidae","Vermivora","cyanopteraxchrysoptera"
"699","1394","06413","Passeriformes","Parulidae","Vermivora","chrysopteraxcyanoptera"
"700","1395","06360","Passeriformes","Parulidae","Mniotilta","varia"
"701","1396","06370","Passeriformes","Parulidae","Protonotaria","citrea"
"702","1397","06380","Passeriformes","Parulidae","Limnothlypis","swainsonii"
"703","1399","06470","Passeriformes","Parulidae","Leiothlypis","peregrina"
"704","1400","06460","Passeriformes","Parulidae","Leiothlypis","celata"
"705","1402","06430","Passeriformes","Parulidae","Leiothlypis","luciae"
"706","1403","06450","Passeriformes","Parulidae","Leiothlypis","ruficapilla"
"707","1404","06440","Passeriformes","Parulidae","Leiothlypis","virginiae"
"708","1405","06780","Passeriformes","Parulidae","Oporornis","agilis"
"709","1407","06800","Passeriformes","Parulidae","Geothlypis","tolmiei"
"710","1408","06790","Passeriformes","Parulidae","Geothlypis","philadelphia"
"711","1409","06770","Passeriformes","Parulidae","Geothlypis","formosa"
"712","1413","06810","Passeriformes","Parulidae","Geothlypis","trichas"
"713","1415","06840","Passeriformes","Parulidae","Setophaga","citrina"
"714","1416","06870","Passeriformes","Parulidae","Setophaga","ruticilla"
"715","1417","06700","Passeriformes","Parulidae","Setophaga","kirtlandii"
"716","1418","06500","Passeriformes","Parulidae","Setophaga","tigrina"
"717","1419","06580","Passeriformes","Parulidae","Setophaga","cerulea"
"718","1420","06480","Passeriformes","Parulidae","Setophaga","americana"
"719","1421","06490","Passeriformes","Parulidae","Setophaga","pitiayumi"
"720","1422","06570","Passeriformes","Parulidae","Setophaga","magnolia"
"721","1423","06600","Passeriformes","Parulidae","Setophaga","castanea"
"722","1424","06620","Passeriformes","Parulidae","Setophaga","fusca"
"723","1425","06520","Passeriformes","Parulidae","Setophaga","petechia"
"724","1426","06590","Passeriformes","Parulidae","Setophaga","pensylvanica"
"725","1427","06610","Passeriformes","Parulidae","Setophaga","striata"
"726","1428","06540","Passeriformes","Parulidae","Setophaga","caerulescens"
"727","1429","06720","Passeriformes","Parulidae","Setophaga","palmarum"
"728","1430","06710","Passeriformes","Parulidae","Setophaga","pinus"
"729","1431","06550","Passeriformes","Parulidae","Setophaga","coronatacoronata"
"730","1432","06560","Passeriformes","Parulidae","Setophaga","coronataaudoboni"
"731","1433","06556","Passeriformes","Parulidae","Setophaga","coronata"
"732","1434","06630","Passeriformes","Parulidae","Setophaga","dominica"
"733","1435","06730","Passeriformes","Parulidae","Setophaga","discolor"
"734","1436","06640","Passeriformes","Parulidae","Setophaga","graciae"
"735","1437","06650","Passeriformes","Parulidae","Setophaga","nigrescens"
"736","1438","06680","Passeriformes","Parulidae","Setophaga","townsendi"
"737","1439","06690","Passeriformes","Parulidae","Setophaga","occidentalis"
"738","1440","06686","Passeriformes","Parulidae","Setophaga","townsendixoccidentalis"
"739","1441","06685","Passeriformes","Parulidae","Setophaga","townsendi/occidentalis"
"740","1442","06660","Passeriformes","Parulidae","Setophaga","chrysoparia"
"741","1443","06670","Passeriformes","Parulidae","Setophaga","virens"
"742","1448","06860","Passeriformes","Parulidae","Cardellina","canadensis"
"743","1449","06850","Passeriformes","Parulidae","Cardellina","pusilla"
"744","1450","06900","Passeriformes","Parulidae","Cardellina","rubrifrons"
"745","1453","06880","Passeriformes","Parulidae","Myioborus","pictus"
"746","1456","06090","Passeriformes","Cardinalidae","Piranga","flava"
"747","1457","06100","Passeriformes","Cardinalidae","Piranga","rubra"
"748","1458","06080","Passeriformes","Cardinalidae","Piranga","olivacea"
"749","1459","06070","Passeriformes","Cardinalidae","Piranga","ludoviciana"
"750","1467","05930","Passeriformes","Cardinalidae","Cardinalis","cardinalis"
"751","1468","05940","Passeriformes","Cardinalidae","Cardinalis","sinuatus"
"752","1469","05935","Passeriformes","Cardinalidae","Cardinalis","cardinalis/sinuatus"
"753","1471","05950","Passeriformes","Cardinalidae","Pheucticus","ludovicianus"
"754","1472","05960","Passeriformes","Cardinalidae","Pheucticus","melanocephalus"
"755","1478","05970","Passeriformes","Cardinalidae","Passerina","caerulea"
"756","1479","05990","Passeriformes","Cardinalidae","Passerina","amoena"
"757","1480","05980","Passeriformes","Cardinalidae","Passerina","cyanea"
"758","1481","05986","Passeriformes","Cardinalidae","Passerina","amoenaxcyanea"
"759","1484","06000","Passeriformes","Cardinalidae","Passerina","versicolor"
"760","1485","06010","Passeriformes","Cardinalidae","Passerina","ciris"
"761","1486","06040","Passeriformes","Cardinalidae","Spiza","americana"
