"","x","y","diversity","4440","4450","4520","4560","4610","4650","4740","4770","4880","4881","4900","4930","4950","4961","4980","5010","5060","5070","5110","5130","5190","5210","5290","5460","5500","5520","5600","5630","5750","5810","5870","5930","5970","5980","6010","6040","6080","6100","6110","6120","6130","6140","6160","6170","6190","6220","6240","6260","6270","6280","6290","6310","6360","6370","6380","6390","6410","6480","6520","6580","6590","6630","6670","6710","6730","6740","6760","6770","6810","6830","6840","6870","6882","7030","7040","7050","7180","7190","7210","7250","7270","7290","7310","7360","7510","7550","7560","7610","7660","4411","4447","4451","4460","4470","4480","4510","4530","4540","4550","4570","4580","4590","4600","4620","4640","4660","4679","4680","4690","4691","4700","4710","4720","4750","4780","4813","4820","4840","4860","4865","4870","4910","4920","4960","4970","5011","5012","5040","5050","5080","5100","5120","5140","5150","5180","5300","5330","5400","5420","5620","5650","5690","5700","5730","5738","5740","5760","5780","5790","5800","5830","5880","5900","5910","5920","5935","5940","5960","5990","6000","6050","6070","6090","6150","6200","6292","6320","6330","6340","6430","6440","6460","6510","6560","6640","6650","6800","6880","6900","7020","7070","7080","7110","7120","7130","7150","7170","7260","7280","7300","7331","7340","7370","7380","7430","7460","7480","7490","7520","7540","7580","7590","7670","7680","16600","4430","4670","5950","4641","4689","4760","4810","4811","4812","4940","5000","5170","5195","5310","5540","5671","5739","5850","5911","6291","6296","6450","6556","6690","6850","6970","7010","7100","7221","7315","7330","7332","7350","7410","7420","7530","7539","7630","8110","19510","5077","5220","5225","5260","5380","5390","5610","5871","7353","4661","4665","5580","5670","5840","6420","6540","6550","6570","6620","6750","6790","6860","7222","7240","5470","5490","4790","4932","5032","6230","7031","4642","5212","5677","5680","5986","6680","7351","6883","6412","7352","4490","4955","5135","6121","6122","4630","5090","5491","6470","6500","6600","6610","6720","7400","7570","7571","6413","5480","6700","6780","5450","7000","5078","5240","6180","5660","6300","7320","6685","6686","4461","4462","4830","5030","5031","5860","6490","6660","7060","7621","4882","4890","5570","5261","5250"
"1",-2302033.12519051,3062202.34687399,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-2199627.52742533,3062202.34687399,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-2097221.92966015,3062202.34687399,0.598425196850394,0,0,0,0,0,0,0,0,6413,0,0,5807,629,0,870,0,0,0,0,0,187,1930,1263,0,0,0,77,0,0,4067,0,0,0,0,0,0,0,0,0,1191,2319,677,6,192,1802,0,22,0,1587,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,1080,0,0,0,416,0,0,0,0,196,4,66,0,0,0,0,0,0,0,8279,0,0,0,0,0,3,0,0,0,0,0,1,0,84,0,183,0,1127,0,163,3,0,0,0,0,0,855,0,0,18,796,0,0,0,0,0,0,44,0,0,0,13,721,0,91,0,0,0,201,0,716,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,529,22,0,0,807,0,2181,0,0,302,0,0,0,0,1779,0,138,0,1123,112,0,0,0,0,0,0,0,0,0,0,109,120,0,0,0,0,0,37,0,2160,3,0,0,10526,2,0,0,0,0,0,0,3735,0,0,0,0,94,0,0,1086,0,0,864,840,0,1,0,21,0,2,0,6,4133,0,8,0,5236,0,0,0,496,1515,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,228,0,0,0
"4",-1994816.33189497,3062202.34687399,0.716535433070866,4,0,0,0,0,0,12,0,9695,0,0,23723,3792,0,5623,0,0,0,0,0,4873,1045,7168,4,0,0,607,0,0,9710,0,0,0,0,0,0,0,0,55,5683,9688,1550,25,414,4221,0,285,0,1560,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,2024,2,0,1,5508,0,0,0,0,1255,280,375,0,0,0,0,0,0,0,25447,0,0,0,0,0,1,0,0,0,0,0,0,0,1506,0,968,31,4441,4,228,0,0,0,0,0,0,1641,0,0,150,636,0,0,2,0,0,1,432,0,0,0,127,7836,0,477,2,4,0,1770,2,5440,0,0,0,0,0,0,0,0,0,0,0,0,6738,0,0,0,0,0,2866,23,0,0,1921,0,8181,0,0,295,0,0,0,0,2392,0,463,0,970,418,0,0,0,0,0,0,0,0,0,0,457,1291,0,0,0,0,0,552,0,2162,48,0,20,10415,296,28,0,0,0,0,0,3929,10,0,0,0,20,0,0,1559,0,0,6513,4275,0,1,0,152,0,129,0,180,2463,11,15,0,2021,0,0,0,2798,3079,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,687,0,0,0
"5",-1892410.73412979,3062202.34687399,0.771653543307087,60,0,0,0,0,0,0,0,4549,0,0,7731,2696,0,1598,0,0,0,0,0,738,992,1391,0,0,1,657,0,0,4341,0,0,0,0,0,0,0,0,0,1479,3010,1631,169,646,4758,0,1916,0,3409,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0,0,0,0,0,907,56,0,27,781,0,175,0,0,159,308,110,14,0,0,0,0,0,539,21055,0,0,0,0,0,162,0,0,0,0,0,44,0,334,0,2137,0,3436,0,2414,151,0,0,0,0,0,1770,0,0,95,1251,0,0,11,0,0,0,135,0,0,0,133,2052,0,1120,1,362,0,2336,0,617,0,0,0,0,0,0,0,0,0,0,0,0,3464,0,0,0,0,0,3053,309,0,0,3987,0,5412,0,0,58,0,0,0,0,473,0,2294,0,2085,2821,0,0,0,0,0,0,0,0,1,0,321,1571,33,0,0,0,388,82,0,2370,45,0,59,13743,696,16,1,0,0,8,0,4851,20,0,0,0,0,0,0,765,0,0,3044,4440,0,20,0,542,0,1263,0,27,1557,2,48,0,5662,0,0,0,1490,3010,0,0,0,5134,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0
"6",-1790005.13636461,3062202.34687399,0.834645669291339,928,0,0,0,0,0,1145,0,2176,0,0,6626,2994,0,3666,0,0,0,0,0,2413,376,1665,84,0,360,1935,0,0,986,0,0,0,0,0,0,0,0,0,32664,1423,1537,4263,1414,1722,64,90,0,1054,0,0,0,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,155,293,0,15,1325,0,454,0,0,27,800,22,119,0,0,0,0,0,1408,9072,0,0,0,0,0,2762,0,0,0,0,0,840,0,270,0,4004,0,439,14,1034,589,2,0,0,0,1540,176,0,0,14,943,0,0,214,0,0,1235,8373,0,0,0,2057,8168,0,427,16,781,0,1485,1213,148,812,0,0,0,0,416,0,0,0,0,0,41,2439,0,0,0,0,0,1092,980,0,0,2918,0,2651,0,0,0,0,0,0,0,55,0,1952,0,4,617,0,0,612,0,0,0,0,0,726,105,16,1435,10,0,0,0,785,2,0,391,288,0,198,2305,317,109,118,0,0,4,0,345,0,0,0,0,0,72,0,236,0,0,43,1242,0,13,0,437,0,543,0,4,189,0,14,0,40,0,0,0,872,1,0,0,0,79,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
"7",-1687599.53859943,3062202.34687399,0.78740157480315,578,0,0,0,0,0,3565,0,1165,0,0,6447,2351,0,3814,0,0,0,0,0,714,1357,1501,254,0,85,2755,0,0,1472,0,0,0,0,0,0,0,0,0,2559,1136,473,1473,483,873,0,261,0,1315,0,0,0,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,0,65,133,0,54,1728,0,519,0,0,3,1086,7,240,0,0,0,0,0,1552,8765,0,0,0,0,0,1047,0,0,0,0,0,442,0,101,0,2645,14,971,0,1172,1275,49,0,0,0,746,120,0,0,56,1113,0,0,205,0,0,841,5843,0,0,0,959,4428,0,405,2,808,0,1375,2042,798,216,0,0,0,0,2,0,0,0,0,0,15,2558,0,0,0,0,0,390,1120,0,0,1804,0,1080,0,0,0,0,0,0,0,609,0,1343,0,0,717,0,0,31,0,0,0,0,0,111,6,24,1506,135,0,0,0,871,0,0,72,316,0,166,1845,80,275,166,0,0,14,0,145,7,0,0,0,0,23,0,3,0,0,0,1532,0,35,0,634,0,337,0,0,36,0,2,0,28,0,0,0,917,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-1585193.94083425,3062202.34687399,0.779527559055118,302,0,0,0,0,0,0,0,1089,0,0,2853,1986,0,2675,0,0,0,0,0,272,1606,533,67,0,6,3979,0,0,1730,0,0,0,0,0,0,0,0,0,1933,521,1465,451,538,1534,0,582,0,1347,0,0,0,0,0,0,0,0,0,2129,0,0,0,0,0,0,0,0,0,250,32,0,257,326,0,799,0,0,0,661,18,138,0,0,0,0,0,419,9530,0,0,0,0,0,278,0,0,0,0,0,117,0,143,0,2662,104,621,90,1591,853,0,0,0,0,1370,171,0,0,163,2031,0,0,46,0,0,365,1097,0,0,0,171,4163,0,257,2,212,0,1882,231,722,5,0,0,0,0,0,0,0,0,0,0,14,2665,0,0,0,0,0,717,698,0,0,2302,0,1876,0,0,0,0,0,0,0,1983,0,2070,0,3,1248,0,0,0,0,0,0,0,0,9,1,202,3808,155,0,0,0,718,0,0,1258,68,0,125,6623,468,166,117,0,0,22,0,642,56,0,0,0,0,107,0,0,0,0,5,2849,0,57,0,1575,0,766,0,0,169,0,9,0,704,0,0,0,2444,433,0,0,0,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1865,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-1482788.34306906,3062202.34687399,0.669291338582677,182,0,0,0,0,0,0,0,1482,0,0,1633,349,0,1671,0,0,0,0,0,60,166,90,0,0,1,528,0,0,755,0,0,0,0,0,0,0,0,0,303,341,687,342,2632,328,0,762,0,151,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,624,0,0,168,42,0,180,0,0,0,5,57,1,0,0,0,0,0,102,2151,0,0,0,0,0,4,0,0,0,0,0,3,0,11,0,388,36,422,0,188,199,0,0,0,0,58,49,0,0,3,256,0,0,16,0,0,1243,146,0,0,0,36,659,0,25,0,37,0,639,1,34,0,0,0,0,0,0,0,0,0,0,0,2,161,0,0,0,0,0,299,110,0,0,207,0,830,0,0,0,0,0,0,0,37,0,361,0,0,115,0,0,0,0,0,0,0,0,0,0,26,290,0,0,0,0,18,0,0,80,24,0,2,916,40,1,11,0,0,70,0,1,0,0,0,0,0,42,0,0,0,0,0,328,0,0,0,223,0,104,0,0,17,0,12,0,64,0,0,0,590,108,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
